"index","Category","ID","Name","PValue","QValueFDRBH","QValueFDRBY","QValueBonferroni","TotalGenes","GenesInTerm","GenesInQuery","GenesInTermInQuery","Source","URL","Cluster"
"60","GeneOntologyBiologicalProcess","GO:0042254","ribosome biogenesis",2.52682368082358e-31,1.00415973075929e-28,8.9017453725548e-28,1.00415973075929e-27,20649,348,243,43," "," ","0"
"61","GeneOntologyBiologicalProcess","GO:0022613","ribonucleoprotein complex biogenesis",1.62829491422091e-29,5.88258544464901e-27,5.21483546456964e-26,6.47084398911391e-26,20649,536,243,49," "," ","0"
"62","GeneOntologyBiologicalProcess","GO:0042274","ribosomal small subunit biogenesis",2.77783409108944e-29,9.19926056499119e-27,8.15502480899287e-26,1.10391126779894e-25,20649,114,243,28," "," ","0"
"63","GeneOntologyBiologicalProcess","GO:0042255","ribosome assembly",1.0187215276892e-26,3.11415334695143e-24,2.76065642710942e-23,4.04839935103686e-23,20649,75,243,23," "," ","0"
"64","GeneOntologyBiologicalProcess","GO:0000028","ribosomal small subunit assembly",1.17379403250175e-20,3.33189820368711e-18,2.95368440975703e-17,4.66465748516196e-17,20649,27,243,14," "," ","0"
"65","GeneOntologyBiologicalProcess","GO:0022618","protein-RNA complex assembly",3.270035884852e-19,8.66341507093456e-17,7.68000474983195e-16,1.29951226064018e-15,20649,255,243,28," "," ","0"
"66","GeneOntologyBiologicalProcess","GO:0071826","protein-RNA complex organization",7.51362427444041e-19,1.86619642916414e-16,1.65435885534155e-15,2.98591428666262e-15,20649,263,243,28," "," ","0"
"67","GeneOntologyBiologicalProcess","GO:0042110","T cell activation",9.1278907365744e-19,2.13377869336157e-16,1.89156705132209e-15,3.62742377871467e-15,20649,717,243,43," "," ","0"
"68","GeneOntologyBiologicalProcess","GO:1903131","mononuclear cell differentiation",1.48966750865074e-17,3.28885482187669e-15,2.91552701177411e-14,5.91993867937804e-14,20649,629,243,39," "," ","0"
"69","GeneOntologyBiologicalProcess","GO:0030098","lymphocyte differentiation",2.35848326863604e-17,4.9329539523998e-15,4.37299950134398e-14,9.37261250955962e-14,20649,569,243,37," "," ","0"
"70","GeneOntologyBiologicalProcess","GO:0030217","T cell differentiation",1.35164003707804e-16,2.68570875367406e-14,2.38084586920951e-13,5.37141750734812e-13,20649,406,243,31," "," ","0"
"71","GeneOntologyBiologicalProcess","GO:0046649","lymphocyte activation",3.28038362183903e-16,6.20773548247062e-14,5.50307674291447e-13,1.30362445131883e-12,20649,1005,243,47," "," ","0"
"72","GeneOntologyBiologicalProcess","GO:0002521","leukocyte differentiation",8.45015521014725e-15,1.52640530932387e-12,1.35313844826685e-11,3.35809168051252e-11,20649,841,243,41," "," ","0"
"73","GeneOntologyBiologicalProcess","GO:0042273","ribosomal large subunit biogenesis",9.0756600850836e-15,1.56811622513575e-12,1.39011463247737e-11,3.60666731781222e-11,20649,75,243,15," "," ","0"
"74","GeneOntologyBiologicalProcess","GO:0001775","cell activation",2.72510696231817e-14,4.51232294510518e-12,4.00011558576347e-11,1.08295750682524e-10,20649,1410,243,53," "," ","0"
"75","GeneOntologyBiologicalProcess","GO:0045321","leukocyte activation",3.24253033522496e-14,5.1543262208736e-12,4.56924313730502e-11,1.2885815552184e-10,20649,1227,243,49," "," ","0"
"76","GeneOntologyBiologicalProcess","GO:0006364","rRNA processing",4.77893621327111e-13,7.30442019674592e-11,6.47527347431197e-10,1.89914925115394e-09,20649,231,243,21," "," ","0"
"77","GeneOntologyBiologicalProcess","GO:0033077","T cell differentiation in thymus",2.11238079385508e-12,3.10911158325188e-10,2.75618696918283e-09,8.39460127478007e-09,20649,127,243,16," "," ","0"
"78","GeneOntologyBiologicalProcess","GO:1901798","positive regulation of signal transduction by p53 class mediator",6.00347220342997e-12,8.52064233443954e-10,7.55343857639453e-09,2.38577985364307e-08,20649,35,243,10," "," ","0"
"79","GeneOntologyBiologicalProcess","GO:0046631","alpha-beta T cell activation",6.95558029144025e-12,9.5315434752357e-10,8.44958928594232e-09,2.76414760781835e-08,20649,237,243,20," "," ","0"
"80","GeneOntologyBiologicalProcess","GO:0048872","homeostasis of number of cells",1.58128923298647e-11,2.09468113729608e-09,1.85690757652708e-08,6.28404341188824e-08,20649,550,243,29," "," ","0"
"81","GeneOntologyBiologicalProcess","GO:0016072","rRNA metabolic process",1.80559265456067e-11,2.3146532932981e-09,2.05191003099727e-08,7.17542520922411e-08,20649,279,243,21," "," ","0"
"82","GeneOntologyBiologicalProcess","GO:0140694","non-membrane-bounded organelle assembly",2.5492172999186e-11,3.16580923433641e-09,2.80644869923595e-08,1.01305895498765e-07,20649,523,243,28," "," ","0"
"83","GeneOntologyBiologicalProcess","GO:0000027","ribosomal large subunit assembly",3.04537420297691e-11,3.66736881291826e-09,3.25107474038635e-08,1.21023170826303e-07,20649,29,243,9," "," ","0"
"84","GeneOntologyBiologicalProcess","GO:0072331","signal transduction by p53 class mediator",4.54680044675103e-11,5.31440734570252e-09,4.71115297181927e-08,1.80689849753886e-07,20649,206,243,18," "," ","0"
"85","GeneOntologyBiologicalProcess","GO:0051249","regulation of lymphocyte activation",9.81849364788908e-11,1.11481982162032e-08,9.88273268122113e-08,3.90186937567112e-07,20649,634,243,30," "," ","0"
"86","GeneOntologyBiologicalProcess","GO:1902105","regulation of leukocyte differentiation",1.10465259875571e-10,1.21941372984866e-08,1.08099440700557e-07,4.38988942745517e-07,20649,444,243,25," "," ","0"
"87","GeneOntologyBiologicalProcess","GO:0050863","regulation of T cell activation",3.48263686464267e-10,3.74054024326756e-08,3.31594026143474e-07,1.383999890009e-06,20649,469,243,25," "," ","0"
"88","GeneOntologyBiologicalProcess","GO:1901796","regulation of signal transduction by p53 class mediator",4.37878469622214e-10,4.57928694283862e-08,4.05947829855625e-07,1.74012903827868e-06,20649,130,243,14," "," ","0"
"89","GeneOntologyBiologicalProcess","GO:0050865","regulation of cell activation",6.75905616265031e-10,6.88730492060829e-08,6.10550620866266e-07,2.68604891903723e-06,20649,819,243,33," "," ","0"
"90","GeneOntologyBiologicalProcess","GO:0030099","myeloid cell differentiation",7.93778617768487e-10,7.88619056752992e-08,6.99100533921159e-07,3.15447622701197e-06,20649,692,243,30," "," ","0"
"91","GeneOntologyBiologicalProcess","GO:0045619","regulation of lymphocyte differentiation",9.31133206357871e-10,9.02517893186873e-08,8.00070370602224e-07,3.70032336206618e-06,20649,279,243,19," "," ","0"
"92","GeneOntologyBiologicalProcess","GO:1903706","regulation of hemopoiesis",3.41328668921858e-09,3.22961935784634e-07,2.86301554356133e-06,1.35644013029546e-05,20649,565,243,26," "," ","0"
"93","GeneOntologyBiologicalProcess","GO:0046632","alpha-beta T cell differentiation",4.10797620614557e-09,3.79653428912151e-07,3.36557825460482e-06,1.63250974432225e-05,20649,154,243,14," "," ","0"
"94","GeneOntologyBiologicalProcess","GO:0050851","antigen receptor-mediated signaling pathway",4.32136346395954e-09,3.90297691040345e-07,3.45993825355864e-06,1.71730984057752e-05,20649,241,243,17," "," ","0"
"95","GeneOntologyBiologicalProcess","GO:0002694","regulation of leukocyte activation",5.80507160509017e-09,5.12652323525074e-07,4.54459615226566e-06,2.30693545586283e-05,20649,754,243,30," "," ","0"
"96","GeneOntologyBiologicalProcess","GO:0030218","erythrocyte differentiation",8.95866820819514e-09,7.73951031725381e-07,6.86097520564377e-06,3.56017474593675e-05,20649,253,243,17," "," ","0"
"97","GeneOntologyBiologicalProcess","GO:0002684","positive regulation of immune system process",1.63912760617163e-08,1.38593470360129e-06,1.2286130838086e-05,6.51389310692607e-05,20649,1235,243,39," "," ","0"
"98","GeneOntologyBiologicalProcess","GO:0050852","T cell receptor signaling pathway",1.84075055383267e-08,1.52398806269396e-06,1.35099559057768e-05,7.31514270093103e-05,20649,173,243,14," "," ","0"
"99","GeneOntologyBiologicalProcess","GO:0034101","erythrocyte homeostasis",1.88480353660586e-08,1.52861413356565e-06,1.3550965422205e-05,7.49020925447168e-05,20649,266,243,17," "," ","0"
"100","GeneOntologyBiologicalProcess","GO:0034470","ncRNA processing",2.54681621855433e-08,2.02420953050698e-06,1.79443541394026e-05,0.000101210476525349,20649,456,243,22," "," ","0"
"101","GeneOntologyCellularComponent","GO:0022626","cytosolic ribosome",2.44814588595901e-123,1.00863610501511e-120,6.65644567706108e-120,1.00863610501511e-120,20915,123,246,78," "," ","0"
"102","GeneOntologyCellularComponent","GO:0044391","ribosomal subunit",6.38372062332569e-101,1.31504644840509e-98,8.67858606597216e-98,2.63009289681018e-98,20915,199,246,78," "," ","0"
"103","GeneOntologyCellularComponent","GO:0005840","ribosome",5.71047885808994e-91,7.84239096511018e-89,5.17554836456587e-88,2.35271728953305e-88,20915,277,246,80," "," ","0"
"104","GeneOntologyCellularComponent","GO:0022625","cytosolic large ribosomal subunit",7.34190560901297e-79,7.56216277728336e-77,4.99061311386685e-76,3.02486511091334e-76,20915,59,246,46," "," ","0"
"105","GeneOntologyCellularComponent","GO:0015934","large ribosomal subunit",3.51671392564623e-60,2.89777227473249e-58,1.91237093688625e-57,1.44888613736625e-57,20915,119,246,47," "," ","0"
"106","GeneOntologyCellularComponent","GO:0022627","cytosolic small ribosomal subunit",3.37617316658558e-50,2.31830557438876e-48,1.52995466273889e-47,1.39098334463326e-47,20915,50,246,32," "," ","0"
"107","GeneOntologyCellularComponent","GO:0098794","postsynapse",7.24505171094534e-45,4.26423043558497e-43,2.81415845693096e-42,2.98496130490948e-42,20915,937,246,78," "," ","0"
"108","GeneOntologyCellularComponent","GO:1990904","ribonucleoprotein complex",8.38849907865184e-45,4.3200770255057e-43,2.85101414653082e-42,3.45606162040456e-42,20915,1264,246,88," "," ","0"
"109","GeneOntologyCellularComponent","GO:0015935","small ribosomal subunit",8.83139190605946e-42,4.04281496144055e-40,2.6680363750052e-39,3.6385334652965e-39,20915,86,246,33," "," ","0"
"110","GeneOntologyCellularComponent","GO:0042788","polysomal ribosome",1.07922449267838e-36,4.44640490983493e-35,2.93438362887975e-34,4.44640490983493e-34,20915,35,246,23," "," ","0"
"111","GeneOntologyCellularComponent","GO:0005844","polysome",7.73424237214029e-36,2.896825324838e-34,1.9117460018378e-33,3.1865078573218e-33,20915,90,246,30," "," ","0"
"112","GeneOntologyCellularComponent","GO:0098793","presynapse",1.35914513732967e-29,4.66639830483187e-28,3.07956721648169e-27,5.59967796579824e-27,20915,833,246,59," "," ","0"
"113","GeneOntologyCellularComponent","GO:0005925","focal adhesion",2.09572236253405e-28,6.64182779510792e-27,4.38324244935371e-26,8.6343761336403e-26,20915,433,246,44," "," ","0"
"114","GeneOntologyCellularComponent","GO:0030055","cell-substrate junction",6.61812422863983e-28,1.94761941585686e-26,1.28532210742609e-25,2.72666718219961e-25,20915,445,246,44," "," ","0"
"115","GeneOntologyCellularComponent","GO:0098556","cytoplasmic side of rough endoplasmic reticulum membrane",5.74599187990767e-27,1.57823243634797e-25,1.04154693908847e-24,2.36734865452196e-24,20915,22,246,16," "," ","0"
"116","GeneOntologyCellularComponent","GO:0098554","cytoplasmic side of endoplasmic reticulum membrane",8.01314408574569e-23,2.06338460207951e-21,1.36172078773849e-20,3.30141536332722e-20,20915,33,246,16," "," ","0"
"117","GeneOntologyCellularComponent","GO:0070161","anchoring junction",1.08684803134426e-21,2.63400817008138e-20,1.73830107904169e-19,4.47781388913834e-19,20915,987,246,54," "," ","0"
"118","GeneOntologyCellularComponent","GO:0030867","rough endoplasmic reticulum membrane",3.91909972923375e-20,8.97038382469058e-19,5.91996185091406e-18,1.6146690884443e-17,20915,45,246,16," "," ","0"
"119","GeneOntologyCellularComponent","GO:0032040","small-subunit processome",1.12625989044194e-18,2.44220565716883e-17,1.61172192908086e-16,4.64019074862078e-16,20915,78,246,18," "," ","0"
"120","GeneOntologyCellularComponent","GO:0005791","rough endoplasmic reticulum",3.04762838757779e-18,6.27811447841025e-17,4.14321158762033e-16,1.25562289568205e-15,20915,129,246,21," "," ","0"
"121","GeneOntologyCellularComponent","GO:0030684","preribosome",1.34980347505287e-16,2.64818586534181e-15,1.7476575811397e-14,5.56119031721781e-14,20915,117,246,19," "," ","0"
"122","GeneOntologyCellularComponent","GO:0098552","side of membrane",1.63607148554078e-13,3.06391569110365e-12,2.02201648895177e-11,6.74061452042803e-11,20915,835,246,39," "," ","0"
"123","GeneOntologyCellularComponent","GO:0098562","cytoplasmic side of membrane",1.62360585104398e-12,2.90837222013095e-11,1.91936632009471e-10,6.68925610630119e-10,20915,246,246,21," "," ","0"
"124","GeneOntologyCellularComponent","GO:0099572","postsynaptic specialization",9.9552702116891e-09,1.64980127559141e-07,1.08877845184371e-06,4.10157132721591e-06,20915,512,246,24," "," ","0"
"125","GeneOntologyCellularComponent","GO:0014069","postsynaptic density",1.00109300703362e-08,1.64980127559141e-07,1.08877845184371e-06,4.12450318897852e-06,20915,472,246,23," "," ","0"
"126","GeneOntologyCellularComponent","GO:0032279","asymmetric synapse",2.32762285590448e-08,3.68838698704864e-07,2.43413333046415e-06,9.58980616632646e-06,20915,494,246,23," "," ","0"
"127","GeneOntologyCellularComponent","GO:0098984","neuron to neuron synapse",9.25823938618061e-08,1.41273875078015e-06,9.32330173755411e-06,3.81439462710641e-05,20915,533,246,23," "," ","0"
"128","GeneOntologyCellularComponent","GO:0005853","eukaryotic translation elongation factor 1 complex",1.579715425893e-05,0.000232443841238541,0.00153400199980802,0.00650842755467915,20915,5,246,3," "," ","0"
"129","GeneOntologyCellularComponent","GO:0001772","immunological synapse",2.56685143883913e-05,0.000364669928552318,0.00240662173146169,0.0105754279280172,20915,50,246,6," "," ","0"
"130","GeneOntologyCellularComponent","GO:0009897","external side of plasma membrane",0.000171921439802896,0.00236105443995977,0.0155816657187189,0.0708316331987932,20915,576,246,18," "," ","0"
"131","GeneOntologyCellularComponent","GO:0042105","alpha-beta T cell receptor complex",0.00032693736499454,0.00434510304444357,0.0286752994789314,0.134698194377751,20915,12,246,3," "," ","0"
"132","GeneOntologyCellularComponent","GO:0031672","A band",0.000357891007411466,0.00460784672042263,0.0304092637872186,0.147451095053524,20915,52,246,5," "," ","0"
"133","GeneOntologyCellularComponent","GO:0005854","nascent polypeptide-associated complex",0.00134599079398898,0.0163102413859841,0.107638657019847,0.554548207123458,20915,5,246,2," "," ","0"
"134","GeneOntologyCellularComponent","GO:0035976","transcription factor AP-1 complex",0.00134599079398898,0.0163102413859841,0.107638657019847,0.554548207123458,20915,5,246,2," "," ","0"
"135","GeneOntologyCellularComponent","GO:0043209","myelin sheath",0.00143225713464788,0.0168597125564265,0.111264865698057,0.590089939474927,20915,225,246,9," "," ","0"
"136","GeneOntologyCellularComponent","GO:0042106","gamma-delta T cell receptor complex",0.00200332655736376,0.0229269594898297,0.151305371308263,0.82537054163387,20915,6,246,2," "," ","0"
"137","GeneOntologyCellularComponent","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",0.00818319943052225,0.0890383957905354,0.587604629464937,1,20915,1337,246,26," "," ","0"
"138","GeneOntologyCellularComponent","GO:0030665","clathrin-coated vesicle membrane",0.0082122792233989,0.0890383957905354,0.587604629464937,1,20915,148,246,6," "," ","0"
"139","GeneOntologyCellularComponent","GO:0005789","endoplasmic reticulum membrane",0.010968663860511,0.115874090013604,0.764705508477592,1,20915,1302,246,25," "," ","0"
"140","GeneOntologyCellularComponent","GO:1990907","beta-catenin-TCF complex",0.0114226244898014,0.115930755006925,0.765079466387644,1,20915,14,246,2," "," ","0"
"141","GeneOntologyCellularComponent","GO:0098827","endoplasmic reticulum subcompartment",0.011570069960438,0.115930755006925,0.765079466387644,1,20915,1308,246,25," "," ","0"
"142","GeneOntologyCellularComponent","GO:0030425","dendrite",0.0126647987828366,0.115930755006925,0.765079466387644,1,20915,855,246,18," "," ","0"
"143","GeneOntologyCellularComponent","GO:0009986","cell surface",0.012747886477704,0.115930755006925,0.765079466387644,1,20915,1184,246,23," "," ","0"
"144","GeneOntologyCellularComponent","GO:0042101","T cell receptor complex",0.0128139706208822,0.115930755006925,0.765079466387644,1,20915,163,246,6," "," ","0"
"145","GeneOntologyCellularComponent","GO:0000791","euchromatin",0.0129371418568103,0.115930755006925,0.765079466387644,1,20915,77,246,4," "," ","0"
"146","GeneOntologyCellularComponent","GO:0097447","dendritic tree",0.0129437250735887,0.115930755006925,0.765079466387644,1,20915,857,246,18," "," ","0"
"147","GeneOntologyCellularComponent","GO:0030669","clathrin-coated endocytic vesicle membrane",0.0147152864549021,0.128993574881269,0.851286920642418,1,20915,80,246,4," "," ","0"
"148","GeneOntologyCellularComponent","GO:0031968","organelle outer membrane",0.0152146620592351,0.13047325387395,0.861051991301002,1,20915,271,246,8," "," ","0"
"149","GeneOntologyCellularComponent","GO:0036464","cytoplasmic ribonucleoprotein granule",0.015834132751693,0.13047325387395,0.861051991301002,1,20915,273,246,8," "," ","0"
"150","GeneOntologyCellularComponent","GO:0019867","outer membrane",0.015834132751693,0.13047325387395,0.861051991301002,1,20915,273,246,8," "," ","0"
"151","HumanPheno","HP:0031640","Abnormal radial artery morphology",1.57736136749852e-34,1.22455820830135e-31,1.02013347389054e-30,3.67367462490406e-31,5010,26,65,20," "," ","0"
"152","HumanPheno","HP:0030270","Elevated red cell adenosine deaminase activity",1.57736136749852e-34,1.22455820830135e-31,1.02013347389054e-30,3.67367462490406e-31,5010,26,65,20," "," ","0"
